//REQUIRED Format of IDENTIFIER|X,Y
//Addition fields for guard are |STATE|DIRECTION
//PLAYERS START POSITION
Player|20,17
//GUARD(S) START POSITIONS, STATE AND DIRECTION
Guard|3,16|Standing|Clockwise
Guard|11,15|Standing|Clockwise
Guard|11,3|Standing|Clockwise
Guard|1,1|Standing|Clockwise
//POINT(S) THE GUARDS RUN IN FROM
GuardEntry|20,10
GuardEntry|0,14
//Time in minutes
Time|1
//Colours as in Floor colour|Wall colour
Colours|81,81,81|255,255,255
//TREASURE DEFINITIONS
Treasure|7,5
Treasure|8,5
Treasure|9,5
Treasure|10,5
Treasure|11,5
Treasure|12,5
Treasure|13,5
Treasure|14,5
Treasure|14,6
Treasure|13,6
Treasure|12,6
Treasure|11,6
Treasure|10,6
Treasure|9,6
Treasure|8,6
Treasure|7,6
Treasure|7,7
Treasure|8,7
Treasure|9,7
Treasure|10,7
Treasure|11,7
Treasure|12,7
Treasure|13,7
Treasure|14,7
Treasure|14,8
Treasure|13,8
Treasure|12,8
Treasure|11,8
Treasure|10,8
Treasure|9,8
Treasure|8,8
Treasure|7,8
Treasure|7,9
Treasure|8,9
Treasure|9,9
Treasure|10,9
Treasure|11,9
Treasure|12,9
Treasure|13,9
Treasure|14,9
Treasure|14,10
Treasure|13,10
Treasure|11,10
Treasure|10,10
Treasure|9,10
Treasure|8,10
Treasure|7,10
Treasure|12,10
//WAY POINTS
WayPoint|1,1
WayPoint|11,3
WayPoint|19,1
WayPoint|19,8
WayPoint|16,3
WayPoint|16,11
WayPoint|18,16
WayPoint|11,15
WayPoint|11,11
WayPoint|5,11
WayPoint|3,16
WayPoint|2,7
WayPoint|6,4
WayPoint|1,4
//Bounding Boxes
BBox|0,0
BBox|669,2
BBox|669,2
BBox|673,316
BBox|670,321
BBox|608,317
BBox|574,351
BBox|670,354
BBox|668,354
BBox|671,574
BBox|671,574
BBox|3,573
BBox|3,572
BBox|0,480
BBox|3,446
BBox|0,0
BBox|573,192
BBox|576,415
BBox|608,447
BBox|669,450
BBox|513,448
BBox|575,451
BBox|513,448
BBox|515,510
BBox|512,544
BBox|514,567
BBox|448,570
BBox|445,480
BBox|448,446
BBox|445,417
BBox|447,417
BBox|256,415
BBox|223,418
BBox|192,415
BBox|192,415
BBox|194,478
BBox|191,511
BBox|194,569
BBox|258,510
BBox|256,479
BBox|256,479
BBox|350,483
BBox|317,481
BBox|323,510
BBox|96,509
BBox|128,511
BBox|128,511
BBox|124,385
BBox|126,386
BBox|96,383
BBox|127,351
BBox|97,348
BBox|99,350
BBox|96,320
BBox|35,317
BBox|32,287
BBox|32,287
BBox|63,290
BBox|0,479
BBox|64,481
BBox|1,444
BBox|64,448
BBox|2,380
BBox|32,414
BBox|4,221
BBox|160,223
BBox|160,223
BBox|157,160
BBox|96,125
BBox|160,127
BBox|160,127
BBox|156,65
BBox|159,67
BBox|96,62
BBox|98,64
BBox|96,32
BBox|159,93
BBox|255,96
BBox|288,92
BBox|320,96
BBox|320,96
BBox|317,2
BBox|480,3
BBox|483,31
BBox|544,64
BBox|574,66
BBox|572,66
BBox|578,126
BBox|576,124
BBox|607,128
BBox|480,63
BBox|482,223
BBox|224,160
BBox|255,162
BBox|224,160
BBox|227,287
BBox|224,319
BBox|227,349
BBox|224,349
BBox|351,352
BBox|384,349
BBox|480,351
BBox|480,351
BBox|477,255
BBox|316,224
BBox|320,253
BBox|317,253
BBox|383,256
BBox|381,253
BBox|384,286
BBox|288,159
BBox|479,163
